O,N,Nome Campo,Field Name,TIPO (format),NULL,"Valori ammessi – codifica (permited values – coding)","Descrizione (description)",NOTES,BOX2M
1,1,codice_catasto,cadastre_code,character varying(10),NO,-,"codice regionale a 10 cifre, già presente sul cit. indentifica in modo univoco l’impianto","PK, GDPR (b)",Y
2,31,gruppo_termico,thermal_unit ,character varying(4),no,-,format a 4 cifre (ESEMPIO GT01). INSIEME AL CODICE CATASTO IDENTIFICA in modo univoco IL GENERATORE. il GRUPPO TERMICO è GIà assegnato dal CIT,"PK, GDPR (b)",Y
3,4,indirizzo_impianto,plant_address,character varying(400),NO,"via, numero, palazzo, scala, INTERNO","include via, numero, palazzo, scala, INTERNO dove è ubicato l’impianto, separati dalla virgola e riportati solo se presenti (esempio: VIA ROMA, 5)",GDPR (b),Y
4,3,comune,municipality,character varying(6),NO,-,codice istat a 6 cifre del comune in cui è ubicato l’impianto,"OK, SEGM",Y
5,27,data_installazione,installation_date,date ,NO,-,FORMAT AAAA-MM-GG,YYYY-MM,
6,64,data_controllo,check_date,date,no,-,FORMAT AAAA-MM-GG. non saranno accettati rcee passati 60 giorni dalla loro redazione,YYYY-MM,
7,59,osservazioni,remarks,character varying(400),si,-,sezione osservazioni del rcee,NO,
8,60,raccomandazioni,recommendations,character varying(400),si,-,sezione RACCOMANDAZIONI del rcee,NO,
9,61,prescrizioni,prescriptions,character varying(400),si,-,sezione PRESCRIZIONI del rcee,NO,
10,65,orario_arrivo,arrival_time,character varying(5),si,-,FORMAT HH:mm (esempio: 09:15),NO,
11,66,orario_partenza,departure_time,character varying(5),si,-,FORMAT HH:mm (esempio: 09:15),NO,
12,28,fabbricante,manufacturer,character varying(500),no,-,indicare il fabbricante del generatore,COMM,
13,29,modello,template,character varying(500),no,-,INDICARE IL modello DEL GENERATORE,COMM,
14,30,matricola,freshman,character varying(200),no,-,INDICARE la matricola del generatore,COMM,
15,5,responsabile_impianto,plant_manager,character varying(200),NO,Cognome Nome,Cognome e Nome del responsabile impianto SEPARATI DA UNO SPAZIO (ESEMPIO: ROSSI MARIO),GDPR (a),
16,6,codice_fiscale,fiscal_Code,character varying(16),NO,-,codice fiscale del responsabile impianto,GDPR (a),
17,7,ragione_sociale,business_name,character varying(200),SI,-,EVENTUALE RAGIONE SOCIALE QUANDO L’impianto e’ di responsabilità di una persona giuridica,GDPR (a),
18,8,partita_ iva,VAT_number,character varying(11),si,-,EVENTUALE partita iva QUANDO L’IMPIANTO E’ DI RESPONSABILITÀ DI UNA PERSONA GIURIDICA,GDPR (a),
19,9,residenza_responsabile,responsible_residence,character varying(300),si,"comune, via, numero","INCLUDE comune, via, numero DOVE è residente il responsabile impianto, SEPARATI DALLA VIRGOLA E RIPORTATI SOLO SE PRESENTI (ESEMPIO: lucca, VIA fillungo, 100)",GDPR (a),
20,10,titolo_responsabile,manager_title,character varying(50),no,"PROPRIETARIO OCCUPANTE AMMINISTRATORE CONDOMINIO TERZO RESPONSABILE",Sono ammessi solo i 4 valori testuali riportati nella colonna a fianco,GDPR (a),
21,11,id_ditta_manutentore,maintenance_company_id,integer,NO,-,Costante assegnatA dal GRUPPO DI LAVORO SIERT,GDPR (a),
22,67,manutentore,maintainer,character varying(200),no,Cognome nome,cognome e nome del tecnico che ha eseguito Manutenzione,GDPR (a),
23,68,numero_bollino,sticker_number,character varying(50),no,-,indicare il numero univoco di bollino regionale applicato sul rcee,GDPR (a),
24,2,potenza_totale,total_power,double precision,NO,-,potenza nominale del generatore. separatore decimale punto,OK,
25,12,dichiarazione_conformita,declaration_conformity,integer,NO,SI=3 4=NO  ,"applicare la codifica, assegnando il valore 3 quando la dichiarazione di conformità è uguale a si ed il valore 4 quando è no",OK,
26,13,libretto_uso_manutenzione,booklet_use_maintenance,integer,NO,SI=3 4=NO  ,APPLICARE LA CODIFICA IN ANALOGIA A QUANTO VISTO PER LA DICHIARAZIONE DI CONFORMITà,OK,
27,14,libretto_climatizzazione,booklet_air conditioning,integer,NO,SI=3 4=NO  ,APPLICARE LA CODIFICA IN ANALOGIA A QUANTO VISTO PER LA DICHIARAZIONE DI CONFORMITÀ,OK,
28,15,libretto_climattizazione_compilato_correttamente,booklet_air conditioning_completed_correctly,integer,NO,SI=3 4=NO  ,APPLICARE LA CODIFICA IN ANALOGIA A QUANTO VISTO PER LA DICHIARAZIONE DI CONFORMITÀ,OK,
29,16,durezza_acqua,water_hardness,INTEGER,SI,0 -  99 °fr,sono ammessi solo VALORI INTERI DA 0 A 99 °fr,OK,
30,17,trattamento_riscaldamento,heating_treatment,integer,NO,"16= Non Richiesto 17=Assente 18=Filtrazione 19=Addolcimento 20 = Condizionamento chimico 21= Filtrazione + Condizionamento 22= Filtrazione + Addolcimento 23= Condizionamento + Addolcimento 24= Filtrazione + Addolcimento + Condizionamento","APPLICARE LA CODIFICa, riportata a fianco, al campo indicante la tipologia di trattamento acqua sul cirtcuito di riscaldamento",OK,
31,18,trattamento_acs,acs_treatment,INTEGER ,NO,"16= Non Richiesto 17=Assente 18=Filtrazione 19=Addolcimento 20 = Condizionamento chimico 21= Filtrazione + Condizionamento 22= Filtrazione + Addolcimento 23= Condizionamento + Addolcimento 24= Filtrazione + Addolcimento + Condizionamento","APPLICARE LA CODIFICA, RIPORTATA A FIANCO, AL CAMPO INDICANTE LA TIPOLOGIA DI TRATTAMENTO ACQUA SUL CIRTCUITO PER la produzione di acqua calda sanitaria",OK,
32,19,locale_idoneo,local_suitable,INTEGER ,NO,"SI=3 4=NO  9=NC 16= Non richiesto","APPLICARE LA CODIFICA, ASSEGNANDO IL VALORE 3 QUANDO LOCALE_IDONEO È UGUALE A SI, IL VALORE 4 QUANDO È UGUALE A NO, il valore 9 quando uguale a nc ED il valore 16 quando la compilazione di tale campo non è richiesta (vedi, per esempio, generatori installati all’esterno)",OK,
33,20,generatore_idoneo_installazione_esterna,generator_suitable_external_installation,INTEGER ,NO,"SI=3 4=NO  9=NC 16= Non richiesto",APPLICARE LA CODIFICA IN ANALOGIA A QUANTO VISTO PER il LOCALE_IDONEO,OK,
34,21,aperture_ventilazione_areazione_libere,free_air_ventilation_openings,INTEGER ,NO,SI=3 4=NO  9=NC ,"APPLICARE LA CODIFICA, ASSEGNANDO IL VALORE 3 PER APERTURE_VENTILAZIONE_AEREAZIONI_LIBERE UGUALE A SI, IL VALORE 4 QUANDO È UGUALE A NO ED il valore 9 quando UGUALE A nc",OK,
35,22,adeguate_ dimensioni_aperture_ventilazione_aereazione,adequate_ dimensions_ openings_ ventilation_ ventilation,INTEGER ,NO,SI=3 4=NO  9=NC ,APPLICARE LA CODIFICA IN ANALOGIA A QUANTO VISTO PER aperture_ventilazione_areazione_libere,OK,
36,23,canale_fumo_idoneo,suitable_smoke_channel,INTEGER ,NO,SI=3 4=NO  9=NC ,APPLICARE LA CODIFICA IN ANALOGIA A QUANTO VISTO PER aperture_ventilazione_areazione_libere,OK,
37,24,sistema_regolazione_temperatura_funzionante,temperature_regulation_system_working,INTEGER ,NO,SI=3 4=NO  9=NC ,APPLICARE LA CODIFICA IN ANALOGIA A QUANTO VISTO PER aperture_ventilazione_areazione_libere,OK,
38,25,assenza_perdita_liquido_combustibile,absence_of_fuel_liquid_leakage,INTEGER ,NO,"SI=3 4=NO  9=NC 16= Non richiesto",APPLICARE LA CODIFICA IN ANALOGIA A QUANTO VISTO PER il LOCALE_IDONEO,OK,
39,26,idonea_tenuta_impianto,suitable_system_holding,INTEGER ,NO,SI=3 4=NO  9=NC ,APPLICARE LA CODIFICA IN ANALOGIA A QUANTO VISTO PER aperture_ventilazione_areazione_libere,OK,
40,32,tipo_generatore,generator_type,character varying(100),no,"GRUPPO TERMICO SINGOLO TUBO NASTRO RADIANTE GRUPPO TERMICO MODULARE GENERATORE ARIA CALDAIA",SONO AMMESSI SOLO I 4 VALORI TESTUALI RIPORTATI NELLA COLONNA A FIANCO,OK,
41,33,potenza_focolare,hearth_power,double precision,no,-,potenza nominale del generatore. separatore decimale punto,OK,
42,34,potenza_utile,useful_power,double precision,no,-,POTENZA NOMINALE DEL GENERATORE. SEPARATORE DECIMALE PUNTO,OK,
43,35,climatizzazione Invernale,Winter air conditioning,character varying(2),no,"SI NO",SONO AMMESSI SOLO I 2 VALORI TESTUALI RIPORTATI NELLA COLONNA A FIANCO,OK,
44,36,produzione acs (acqua calda sanitaria),DHW production (domestic hot water),character varying(2),no,"SI NO",SONO AMMESSI SOLO I 2 VALORI TESTUALI RIPORTATI NELLA COLONNA A FIANCO,OK,
45,37,combustibile,fuel,character varying(50),no,"GPL Gas naturale Gasolio Altro (testo libero)",SONO AMMESSI SOLO I 4 VALORI TESTUALI RIPORTATI NELLA COLONNA A FIANCO,OK,
46,38,evacuazione_fumi,smoke evacuation,character varying(10),no,"Naturale Forzata",SONO AMMESSI SOLO I 2 VALORI TESTUALI RIPORTATI NELLA COLONNA A FIANCO,OK,
47,39,depressione,depression,integer,si,-,valore obbligatorio per generatori dove il combustibile è gpl o metano ed EVACUAZIONE_FUMI = Naturale,OK,
48,40,dispositivi_comando_regolazione_funzionanti,regulation_command_devices_working,INTEGER,NO,SI=3 4=NO  9=NC,APPLICARE LA CODIFICA IN ANALOGIA A QUANTO VISTO PER APERTURE_VENTILAZIONE_AREAZIONE_LIBERE,OK,
49,41,dispositivi_sicurezza_non_manomessi_cortocircuitati,security_devices_not_tampered_shorted,INTEGER,NO,SI=3 4=NO  9=NC,APPLICARE LA CODIFICA IN ANALOGIA A QUANTO VISTO PER APERTURE_VENTILAZIONE_AREAZIONE_LIBERE,OK,
50,42,valvola_sicurezza,safety_valve,INTEGER,NO,SI=3 4=NO  9=NC,APPLICARE LA CODIFICA IN ANALOGIA A QUANTO VISTO PER APERTURE_VENTILAZIONE_AREAZIONE_LIBERE,OK,
51,43,controllo_pulizia_scambiatore,exchanger_cleaning_check,INTEGER,NO,SI=3 4=NO  9=NC,APPLICARE LA CODIFICA IN ANALOGIA A QUANTO VISTO PER APERTURE_VENTILAZIONE_AREAZIONE_LIBERE,OK,
52,44,presenza_riflussi,presence_ebbs,INTEGER,NO,SI=3 4=NO  9=NC,APPLICARE LA CODIFICA IN ANALOGIA A QUANTO VISTO PER APERTURE_VENTILAZIONE_AREAZIONE_LIBERE,OK,
53,45,risultati_uni_10389,results_uni_10389,INTEGER,NO,SI=3 4=NO  9=NC,APPLICARE LA CODIFICA IN ANALOGIA A QUANTO VISTO PER APERTURE_VENTILAZIONE_AREAZIONE_LIBERE,OK,
54,47,temperatura_fumi,smoke_temperature,double precision,no,-,SEPARATORE DECIMALE PUNTO,OK,
55,48,temperatura_aria_comburente,combustion_air_temperature,double precision,no,-,SEPARATORE DECIMALE PUNTO,OK,
56,49,o2,o2,double precision,no,-,SEPARATORE DECIMALE PUNTO,OK,
57,50,co2,co2,double precision,no,-,SEPARATORE DECIMALE PUNTO,OK,
58,51,bacharac,bacharac,character varying(10),si,N N N,Obbligatorio solo per combustibile= Gasolio. riportare le tre misurazione separate da uno spazio (esempio: 1 2 1),OK,
59,52,co,co,double precision,no,-,SEPARATORE DECIMALE PUNTO,OK,
60,53,rendimento_combustione,combustion_efficiency,double precision,no,-,SEPARATORE DECIMALE PUNTO,OK,
61,54,rendimento_minimo_legge,minimum_performance_law,double precision,si,-,SEPARATORE DECIMALE PUNTO,OK,
62,55,adozione_valvole_termostatiche,adoption_thermostatic_valves,character varying(4),si,SI,Assume valore si solo se la casella è smarcata sulla copia cartacea,OK,
63,56,isolamento_rete_distribuzione,distribution_network_isolation,character varying(4),si,SI,Assume valore si solo se la casella è smarcata sulla copia cartacea,OK,
64,57,sistema_trattamento_acqua,water_treatment_system,character varying(4),si,SI,Assume valore si solo se la casella è smarcata sulla copia cartacea,OK,
65,58,sostituzione_ regolazione_ on/off,replacement_ regulation_ on/off,character varying(4),si,SI,Assume valore si solo se la casella è smarcata sulla copia cartacea,OK,
66,62,impianto_puo_funzionare_in_sicurezza,system_can_operate_in_safety,integer,no,21=SI  13=NO,"APPLICARE LA CODIFICA, ASSEGNANDO IL VALORE 21 PER impianto_puo_funzionare_in_sicurezza UGUALE A SI ED IL VALORE 13 QUANDO È UGUALE A NO",OK,
67,63,manutenzione_entro,maintenance_within ,date,si,-,FORMAT AAAA-MM-GG,OK,
